#k, z, u, v, w, p, uu, vv, ww, pp, uv, uw, vw, g11, g12, g13, g21, g22, g23, g31, g32, g33, u_rms, v_rms, w_rms, p_rms, Rxx, Rxy, Rxz, Ryy, Ryz, Rzz, tke
34, 1.126811e+00, 1.800789e+01, 5.899879e-04, 2.764716e-18, -3.943170e-01, 3.249676e+02, 3.677745e-01, 3.346583e-01, 3.003704e+00, 9.964130e-03, 1.184230e-01, -5.467402e-06, -3.092632e-14, -3.903128e-18, -1.638283e+00, -1.426403e-18, -1.978669e-18, 6.794754e-03, -7.536899e-18, -2.927346e-18, 1.235990e-17, 8.259044e-01, 6.059809e-01, 5.780321e-01, 1.687390e+00, 6.825543e-01, -6.739127e-04, 1.183037e-01, 3.674176e-01, -1.688124e-05, 3.343276e-01, 6.921498e-01
35, 1.209393e+00, 1.782763e+01, 1.126100e-03, 1.951564e-18, -4.248158e-01, 3.186532e+02, 4.260691e-01, 3.651406e-01, 3.146305e+00, 1.923370e-02, 1.958353e-01, -6.024061e-05, -3.063392e-14, -8.239937e-18, -2.610154e+00, -2.405574e-18, -3.035766e-18, 5.054189e-03, -9.669728e-18, -3.903128e-18, 1.734723e-18, 9.096493e-01, 6.522363e-01, 6.037904e-01, 1.721822e+00, 8.279989e-01, -8.432966e-04, 1.956355e-01, 4.256464e-01, -6.809444e-05, 3.647834e-01, 8.092144e-01
36, 1.289149e+00, 1.758082e+01, 1.427969e-03, 2.141299e-18, -4.661497e-01, 3.100991e+02, 5.056879e-01, 4.064508e-01, 3.345977e+00, 2.424675e-02, 2.709379e-01, -5.986122e-05, -3.020674e-14, -9.974660e-18, -3.447649e+00, 7.055784e-18, -5.095750e-18, 4.538603e-03, -6.359523e-18, -2.602085e-18, 3.794708e-18, 1.005976e+00, 7.105604e-01, 6.370348e-01, 1.768393e+00, 1.012633e+00, -8.474047e-04, 2.706590e-01, 5.051778e-01, -6.744163e-05, 4.060535e-01, 9.619324e-01
37, 1.365160e+00, 1.728637e+01, 1.846820e-03, 2.249720e-18, -5.142992e-01, 3.000367e+02, 5.989268e-01, 4.545701e-01, 3.590617e+00, 3.118560e-02, 3.426864e-01, 1.651782e-05, -2.966670e-14, -8.239937e-18, -4.178251e+00, 5.919066e-18, -8.402567e-19, 6.291107e-03, -5.109303e-18, 2.439455e-19, -2.764716e-18, 1.102829e+00, 7.732942e-01, 6.736927e-01, 1.823259e+00, 1.216974e+00, -7.162821e-04, 3.423319e-01, 5.983191e-01, 1.229073e-05, 4.541212e-01, 1.134707e+00
38, 1.436690e+00, 1.695951e+01, 2.352926e-03, 1.978669e-18, -5.653742e-01, 2.890599e+02, 6.976372e-01, 5.056088e-01, 3.868941e+00, 3.883555e-02, 4.105769e-01, 6.405379e-06, -2.914444e-14, -7.372575e-18, -4.847892e+00, -4.058982e-18, -4.933120e-18, 6.746911e-03, -1.260385e-18, -1.680513e-18, -3.740497e-18, 1.196838e+00, 8.345859e-01, 7.105086e-01, 1.883363e+00, 1.433277e+00, -1.039708e-03, 4.101508e-01, 6.969191e-01, 1.833685e-06, 5.051048e-01, 1.317650e+00
39, 1.503207e+00, 1.661186e+01, 2.759343e-03, 2.114194e-18, -6.153512e-01, 2.776157e+02, 7.954449e-01, 5.555430e-01, 4.169514e+00, 4.479957e-02, 4.734125e-01, -1.267764e-04, -2.854813e-14, -1.691355e-17, -5.499662e+00, -1.296977e-17, -8.402567e-19, 3.390730e-03, 7.785927e-18, 2.331035e-18, 3.252607e-19, 1.287999e+00, 8.911779e-01, 7.447647e-01, 1.946323e+00, 1.659906e+00, -1.019849e-03, 4.729079e-01, 7.946287e-01, -1.342123e-04, 5.549849e-01, 1.504760e+00
40, 1.564377e+00, 1.625175e+01, 2.765490e-03, 2.114194e-18, -6.600237e-01, 2.660220e+02, 8.873740e-01, 6.001660e-01, 4.480977e+00, 4.474111e-02, 5.303728e-01, 1.555232e-05, -2.794065e-14, 6.071532e-18, -6.184818e+00, 7.684283e-18, -2.547875e-18, -4.530597e-03, 1.400992e-17, 2.276825e-18, 4.119968e-18, 1.378238e+00, 9.412845e-01, 7.740942e-01, 2.010517e+00, 1.900621e+00, -1.922025e-04, 5.297956e-01, 8.864975e-01, 1.284069e-05, 5.995582e-01, 1.693338e+00
41, 1.620060e+00, 1.588346e+01, 2.213116e-03, 2.561428e-18, -6.952842e-01, 2.544519e+02, 9.681266e-01, 6.353699e-01, 4.791717e+00, 3.530643e-02, 5.810790e-01, 3.680850e-05, -2.728384e-14, 2.471981e-17, -6.963670e+00, 7.338693e-18, -6.234162e-18, -1.270307e-02, 1.217017e-17, 7.914676e-18, 2.818926e-18, 1.471003e+00, 9.831868e-01, 7.964712e-01, 2.074760e+00, 2.165061e+00, 1.863226e-04, 5.804387e-01, 9.671843e-01, 4.283408e-05, 6.347216e-01, 1.883484e+00
42, 1.670277e+00, 1.550850e+01, 1.399650e-03, 2.900241e-18, -7.162581e-01, 2.429800e+02, 1.032479e+00, 6.562795e-01, 5.084707e+00, 2.205000e-02, 6.249871e-01, 3.894369e-05, -2.664091e-14, 1.344411e-17, -7.914375e+00, 8.121352e-18, -4.878910e-18, -1.589538e-02, 7.521653e-18, 3.415237e-18, -5.692061e-18, 1.569171e+00, 1.015331e+00, 8.094662e-01, 2.137176e+00, 2.463652e+00, 3.910896e-04, 6.242924e-01, 1.031467e+00, 4.920934e-05, 6.556043e-01, 2.075362e+00
43, 1.715186e+00, 1.512469e+01, 6.876455e-04, 1.788934e-18, -7.175925e-01, 2.315704e+02, 1.077471e+00, 6.575467e-01, 5.336797e+00, 1.041791e-02, 6.615441e-01, -2.326902e-04, -2.596968e-14, 2.558717e-17, -9.176399e+00, 1.553797e-17, -1.084202e-19, -1.801238e-02, 3.816730e-18, -3.794708e-18, -2.547875e-18, 1.676119e+00, 1.037217e+00, 8.102433e-01, 2.194821e+00, 2.810885e+00, 6.656952e-05, 6.608069e-01, 1.076418e+00, -2.192038e-04, 6.568657e-01, 2.272084e+00
