#k, z, u, v, w, p, uu, vv, ww, pp, uv, uw, vw, g11, g12, g13, g21, g22, g23, g31, g32, g33, u_rms, v_rms, w_rms, p_rms, Rxx, Rxy, Rxz, Ryy, Ryz, Rzz, tke
36, 1.289149e+00, 1.758493e+01, -2.268838e-03, 1.192622e-18, -4.291577e-01, 3.102410e+02, 5.044316e-01, 4.060994e-01, 3.127806e+00, -4.008606e-02, 2.707366e-01, 3.879381e-05, -3.019384e-14, 1.431147e-17, -3.451537e+00, -2.890076e-18, 1.138412e-18, 9.625814e-03, 2.092171e-18, 1.517883e-18, 4.147073e-18, 1.004934e+00, 7.098333e-01, 6.369008e-01, 1.715401e+00, 1.010373e+00, -2.129142e-04, 2.705289e-01, 5.040704e-01, 2.966803e-05, 4.058123e-01, 9.601278e-01
37, 1.365160e+00, 1.728978e+01, -1.753023e-03, 3.089976e-18, -4.773365e-01, 3.001523e+02, 5.974102e-01, 4.542782e-01, 3.369471e+00, -3.063030e-02, 3.425226e-01, -3.042561e-05, -2.966627e-14, 1.669671e-17, -4.192064e+00, -4.590919e-18, -2.710505e-20, 3.767540e-03, 2.187039e-18, 1.626303e-18, 4.336809e-19, 1.101859e+00, 7.724958e-01, 6.736271e-01, 1.772096e+00, 1.214622e+00, -3.377801e-04, 3.422553e-01, 5.969883e-01, -3.606259e-05, 4.539583e-01, 1.132784e+00
38, 1.436690e+00, 1.696156e+01, -1.704329e-03, 1.273938e-18, -5.282421e-01, 2.891272e+02, 6.969072e-01, 5.051838e-01, 3.643993e+00, -2.938740e-02, 4.102439e-01, -6.686102e-05, -2.913078e-14, 2.255141e-17, -4.866326e+00, 1.045069e-17, -1.382358e-18, -1.997790e-03, 6.657679e-19, 4.553649e-18, 9.215718e-19, 1.196222e+00, 8.343572e-01, 7.103678e-01, 1.833950e+00, 1.431541e+00, -4.858412e-04, 4.099148e-01, 6.964242e-01, -6.718820e-05, 5.048258e-01, 1.316395e+00
39, 1.503207e+00, 1.661272e+01, -2.019737e-03, 2.059984e-18, -5.781402e-01, 2.776430e+02, 7.956860e-01, 5.550819e-01, 3.941012e+00, -3.409557e-02, 4.730375e-01, -4.996520e-06, -2.853371e-14, 2.645453e-17, -5.518486e+00, 1.547360e-17, -5.421011e-19, -6.380437e-03, 2.573286e-18, 9.866240e-18, 5.204170e-18, 1.287762e+00, 8.915384e-01, 7.446198e-01, 1.898653e+00, 1.659012e+00, -5.538607e-04, 4.726525e-01, 7.951477e-01, -7.287258e-06, 5.546829e-01, 1.504422e+00
40, 1.564377e+00, 1.625137e+01, -2.516245e-03, 2.710505e-18, -6.230055e-01, 2.660091e+02, 8.881444e-01, 5.999473e-01, 4.249662e+00, -4.122139e-02, 5.298823e-01, 1.123975e-04, -2.794282e-14, 2.038300e-17, -6.201204e+00, 2.613944e-17, -5.692061e-18, -6.386508e-03, 5.232970e-18, 1.387779e-17, 1.105886e-17, 1.378292e+00, 9.419112e-01, 7.741220e-01, 1.964514e+00, 1.900438e+00, -3.433677e-04, 5.294456e-01, 8.875384e-01, 1.115525e-04, 5.995099e-01, 1.693743e+00
41, 1.620060e+00, 1.588237e+01, -2.772548e-03, 3.035766e-18, -6.583368e-01, 2.544166e+02, 9.692463e-01, 6.352785e-01, 4.557317e+00, -4.433429e-02, 5.806085e-01, 3.507923e-05, -2.726747e-14, 2.602085e-17, -6.974378e+00, 5.692061e-18, -4.282599e-18, -2.710111e-03, 5.309203e-18, 1.897354e-17, 1.130281e-17, 1.471145e+00, 9.839670e-01, 7.965862e-01, 2.030108e+00, 2.165095e+00, -3.179532e-04, 5.801213e-01, 9.685665e-01, 3.425159e-05, 6.348123e-01, 1.884237e+00
42, 1.670277e+00, 1.550696e+01, -2.825616e-03, 3.415237e-18, -6.792083e-01, 2.429332e+02, 1.034150e+00, 6.561501e-01, 4.847233e+00, -4.452704e-02, 6.248639e-01, -3.287172e-05, -2.661792e-14, 2.515349e-17, -7.928287e+00, -1.269872e-17, -7.264155e-18, 6.940859e-04, 6.083391e-18, 1.507041e-17, 7.589415e-18, 1.569856e+00, 1.016377e+00, 8.095642e-01, 2.093553e+00, 2.465406e+00, -7.233067e-04, 6.243319e-01, 1.033419e+00, -3.146203e-05, 6.556666e-01, 2.077246e+00
43, 1.715186e+00, 1.512225e+01, -2.725957e-03, 4.553649e-18, -6.805731e-01, 2.314985e+02, 1.079062e+00, 6.575148e-01, 5.098353e+00, -4.204415e-02, 6.617221e-01, 6.242848e-05, -2.597835e-14, 4.575333e-17, -9.187466e+00, -2.066760e-17, -6.125742e-18, 4.561423e-03, 3.945479e-18, 1.534146e-17, 1.029992e-18, 1.677115e+00, 1.038215e+00, 8.104045e-01, 2.152178e+00, 2.813781e+00, -8.297144e-04, 6.611591e-01, 1.078312e+00, 6.358997e-05, 6.570287e-01, 2.274561e+00
44, 1.755046e+00, 1.472202e+01, -2.447984e-03, 3.848918e-18, -6.587668e-01, 2.199650e+02, 1.102195e+00, 6.357085e-01, 5.289995e+00, -3.652384e-02, 6.904461e-01, 1.184214e-04, -2.527774e-14, 4.553649e-17, -1.095483e+01, -1.941061e-17, -5.366801e-18, 1.141582e-02, 3.349168e-18, 1.273938e-17, -5.377643e-17, 1.795337e+00, 1.049287e+00, 7.968493e-01, 2.202814e+00, 3.224399e+00, -4.990365e-04, 6.898602e-01, 1.101438e+00, 1.177840e-04, 6.352364e-01, 2.480537e+00
45, 1.790190e+00, 1.429412e+01, -1.876197e-03, 3.659182e-18, -6.137036e-01, 2.080340e+02, 1.104981e+00, 5.906453e-01, 5.409175e+00, -2.664175e-02, 7.104009e-01, 1.995199e-04, -2.454775e-14, 4.987330e-17, -1.353896e+01, -1.158402e-17, -1.734723e-18, 1.970157e-02, 2.756245e-18, 2.027458e-17, 5.030698e-17, 1.925534e+00, 1.050606e+00, 7.680801e-01, 2.242464e+00, 3.708942e+00, 1.613938e-04, 7.097967e-01, 1.104216e+00, 2.000926e-04, 5.902046e-01, 2.701681e+00
46, 1.820992e+00, 1.382214e+01, -1.142287e-03, 3.740497e-18, -5.493675e-01, 1.953240e+02, 1.089222e+00, 5.263091e-01, 5.454104e+00, -1.543731e-02, 7.202021e-01, 1.361461e-04, -2.374544e-14, 5.377643e-17, -1.731776e+01, -5.497244e-18, 3.361027e-18, 2.282984e-02, 4.147920e-18, 2.721347e-17, -1.322727e-17, 2.065790e+00, 1.043079e+00, 7.250330e-01, 2.268968e+00, 4.268833e+00, 3.452451e-04, 7.195869e-01, 1.088454e+00, 1.387883e-04, 5.259152e-01, 2.941601e+00
47, 1.847851e+00, 1.328769e+01, -5.408989e-04, 3.930233e-18, -4.725985e-01, 1.814530e+02, 1.056994e+00, 4.495401e-01, 5.432625e+00, -6.609612e-03, 7.174552e-01, 8.319416e-05, -2.281259e-14, 7.632783e-17, -2.274082e+01, -6.013934e-19, 1.019150e-17, 2.088961e-02, 5.576018e-18, 2.645453e-17, -1.799776e-17, 2.210148e+00, 1.027525e+00, 6.700587e-01, 2.281462e+00, 4.886168e+00, 5.755181e-04, 7.168446e-01, 1.056240e+00, 8.702911e-05, 4.492036e-01, 3.195806e+00
48, 1.871164e+00, 1.267220e+01, -7.322490e-05, 2.358140e-18, -3.912547e-01, 1.661094e+02, 1.008945e+00, 3.681964e-01, 5.360011e+00, -3.198046e-04, 6.997631e-01, 7.759797e-05, -2.174086e-14, 1.058181e-16, -3.030885e+01, -7.860466e-19, 1.366095e-17, 1.751655e-02, 6.432368e-18, 2.428613e-17, -2.255141e-17, 2.349181e+00, 1.003891e+00, 6.063948e-01, 2.280938e+00, 5.520109e+00, 6.021380e-04, 6.991762e-01, 1.008221e+00, 8.144827e-05, 3.679217e-01, 3.448126e+00
49, 1.891322e+00, 1.195977e+01, 2.388512e-04, 2.032879e-18, -3.124103e-01, 1.491428e+02, 9.443921e-01, 2.893520e-01, 5.254666e+00, 3.249324e-03, 6.644988e-01, 2.612105e-05, -2.053652e-14, 1.170938e-16, -4.049586e+01, -7.037150e-18, 2.276825e-17, 1.016057e-02, 6.277361e-18, 1.799776e-17, -2.753874e-17, 2.469851e+00, 9.712379e-01, 5.375400e-01, 2.269986e+00, 6.101633e+00, 3.833267e-04, 6.639535e-01, 9.437140e-01, 2.858192e-05, 2.891377e-01, 3.667242e+00
50, 1.908691e+00, 1.114056e+01, 3.194830e-04, 1.558541e-18, -2.413040e-01, 1.306548e+02, 8.638676e-01, 2.182457e-01, 5.134282e+00, 3.753552e-03, 6.097727e-01, -4.234112e-05, -1.912468e-14, 1.344411e-16, -5.360435e+01, -7.555534e-18, 2.276825e-17, 1.018608e-04, 4.798442e-18, 1.409463e-17, -2.949030e-17, 2.556483e+00, 9.289005e-01, 4.668159e-01, 2.252091e+00, 6.537065e+00, 1.841987e-04, 6.092838e-01, 8.632496e-01, -4.147440e-05, 2.180858e-01, 3.809200e+00
51, 1.923614e+00, 1.021513e+01, 2.470960e-04, 1.192622e-18, -1.809895e-01, 1.110775e+02, 7.710694e-01, 1.579312e-01, 5.013108e+00, 2.511349e-03, 5.359175e-01, -8.370744e-05, -1.756971e-14, 1.309716e-16, -6.955115e+01, -5.885185e-18, 2.244298e-17, -6.866942e-03, 3.558597e-18, 1.002887e-17, -2.645453e-17, 2.592587e+00, 8.775831e-01, 3.970757e-01, 2.230770e+00, 6.722963e+00, -2.126976e-05, 5.354971e-01, 7.705216e-01, -8.383904e-05, 1.578167e-01, 3.825650e+00
