#k, z, u, v, w, p, nu_t, uu, vv, ww, pp, uv, uw, vw, g11, g12, g13, g21, g22, g23, g31, g32, g33, u_rms, v_rms, w_rms, p_rms, Rxx, Rxy, Rxz, Ryy, Ryz, Rzz, tke
41, 1.620060e+00, 1.604957e+01, -1.531559e-02, 4.878910e-18, -1.035001e+00, 1.711804e-03, 2.600168e+02, 9.238698e-01, 5.713630e-01, 5.458184e+00, -2.456853e-01, 5.729204e-01, 9.523992e-04, -2.755316e-14, 3.816392e-17, -6.874424e+00, 3.930233e-18, -2.547875e-18, -1.823322e-02, -8.660065e-18, 5.204170e-18, -7.155734e-18, 1.552451e+00, 9.579629e-01, 7.533918e-01, 2.090784e+00, 2.415855e+00, 3.576130e-04, 5.701968e-01, 9.198146e-01, 1.029070e-03, 5.689313e-01, 1.952300e+00
42, 1.670277e+00, 1.567596e+01, -1.624767e-02, 4.336809e-18, -1.068943e+00, 1.666974e-03, 2.485561e+02, 9.709837e-01, 5.738161e-01, 5.755177e+00, -2.558516e-01, 6.151484e-01, 1.021018e-03, -2.688702e-14, 7.112366e-17, -7.978452e+00, -7.724940e-18, 1.198043e-17, -1.549097e-02, -1.058452e-17, 2.602085e-18, -4.331388e-17, 1.673141e+00, 9.820646e-01, 7.550067e-01, 2.143627e+00, 2.805888e+00, -9.241125e-04, 6.121976e-01, 9.666937e-01, 1.086576e-03, 5.713554e-01, 2.171969e+00
43, 1.715186e+00, 1.528466e+01, -1.679907e-02, 4.662069e-18, -1.079709e+00, 1.595284e-03, 2.369073e+02, 9.979299e-01, 5.554310e-01, 5.974152e+00, -2.588617e-01, 6.492406e-01, 1.101896e-03, -2.624615e-14, 1.075529e-16, -9.482996e+00, -1.124860e-17, 1.919038e-17, -1.402900e-03, -2.619026e-18, 3.469447e-18, -2.222614e-17, 1.806078e+00, 9.955880e-01, 7.428096e-01, 2.188436e+00, 3.269182e+00, -1.882677e-03, 6.460932e-01, 9.935283e-01, 1.163019e-03, 5.530569e-01, 2.407884e+00
44, 1.755046e+00, 1.486577e+01, -1.636450e-02, 2.276825e-18, -1.067006e+00, 1.500611e-03, 2.248294e+02, 1.006940e+00, 5.160542e-01, 6.095995e+00, -2.466292e-01, 6.740045e-01, 1.171394e-03, -2.552407e-14, 5.898060e-17, -1.164188e+01, -1.425726e-17, 2.851452e-17, 1.882322e-02, 5.112691e-18, -1.301043e-18, -3.122502e-17, 1.951976e+00, 1.000147e+00, 7.159735e-01, 2.221925e+00, 3.818083e+00, -3.196879e-03, 6.707144e-01, 1.002608e+00, 1.224870e-03, 5.138566e-01, 2.667274e+00
45, 1.790190e+00, 1.440458e+01, -1.538089e-02, 1.301043e-18, -1.034812e+00, 1.387203e-03, 2.119689e+02, 1.000335e+00, 4.592472e-01, 6.122697e+00, -2.269989e-01, 6.874467e-01, 9.658411e-04, -2.469249e-14, 7.979728e-17, -1.480177e+01, -9.202166e-18, 2.027458e-17, 2.812902e-02, 3.672735e-18, 6.071532e-18, -2.558717e-17, 2.108337e+00, 9.969497e-01, 6.753793e-01, 2.242839e+00, 4.453503e+00, -5.401101e-03, 6.840886e-01, 9.961574e-01, 1.007849e-03, 4.572983e-01, 2.953479e+00
46, 1.820992e+00, 1.388194e+01, -1.451060e-02, -8.402567e-19, -9.900298e-01, 1.258623e-03, 1.978932e+02, 9.794768e-01, 3.913424e-01, 6.071403e+00, -2.081952e-01, 6.875063e-01, 7.574678e-04, -2.378284e-14, 1.908196e-17, -1.937786e+01, 8.219608e-18, 1.311885e-17, 2.813104e-02, 1.287490e-19, 1.691355e-17, -3.295975e-17, 2.269200e+00, 9.865080e-01, 6.234035e-01, 2.251491e+00, 5.158192e+00, -6.881345e-03, 6.841593e-01, 9.754235e-01, 7.808094e-04, 3.896935e-01, 3.261655e+00
47, 1.847851e+00, 1.327841e+01, -1.375624e-02, -2.303930e-18, -9.405429e-01, 1.117713e-03, 1.822303e+02, 9.433216e-01, 3.195577e-01, 5.964358e+00, -1.899769e-01, 6.721187e-01, 5.690030e-04, -2.277649e-14, -4.163336e-17, -2.579866e+01, 1.502636e-17, 2.059984e-18, 2.982849e-02, -1.084202e-19, 1.214306e-17, -5.204170e-18, 2.423840e+00, 9.681050e-01, 5.632692e-01, 2.248946e+00, 5.884159e+00, -7.569305e-03, 6.688834e-01, 9.394075e-01, 5.718061e-04, 3.182229e-01, 3.570895e+00
48, 1.871164e+00, 1.257734e+01, -1.300735e-02, -2.249720e-18, -8.935554e-01, 9.676552e-04, 1.647726e+02, 8.910461e-01, 2.502650e-01, 5.825937e+00, -1.711099e-01, 6.391395e-01, 4.010377e-04, -2.158874e-14, -6.938894e-18, -3.448669e+01, 1.301043e-17, -3.686287e-18, 3.584329e-02, 2.663072e-18, 1.214306e-17, 1.344411e-17, 2.557517e+00, 9.408521e-01, 4.983905e-01, 2.237404e+00, 6.549970e+00, -7.813590e-03, 6.361191e-01, 8.873164e-01, 3.913445e-04, 2.492267e-01, 3.843257e+00
49, 1.891322e+00, 1.176741e+01, -1.219283e-02, -1.097755e-18, -8.540133e-01, 8.135554e-04, 1.455585e+02, 8.231863e-01, 1.881254e-01, 5.679494e+00, -1.510798e-01, 5.871958e-01, 2.410676e-04, -2.018253e-14, -5.898060e-17, -4.575508e+01, 5.929231e-18, 4.228388e-18, 4.583699e-02, 3.323757e-18, 2.168404e-19, 1.214306e-17, 2.653761e+00, 9.042551e-01, 4.320182e-01, 2.220212e+00, 7.051230e+00, -7.890336e-03, 5.844815e-01, 8.197089e-01, 2.299947e-04, 1.873481e-01, 4.029144e+00
50, 1.908691e+00, 1.084679e+01, -1.128236e-02, -8.809143e-20, -8.228657e-01, 6.627576e-04, 1.249650e+02, 7.423230e-01, 1.358135e-01, 5.540859e+00, -1.300718e-01, 5.168463e-01, 8.892053e-05, -1.860404e-14, -8.326673e-17, -5.960716e+01, 2.039655e-18, 8.239937e-18, 5.883499e-02, 2.168404e-18, 3.035766e-18, 9.324139e-18, 2.695856e+00, 8.586337e-01, 3.669813e-01, 2.200855e+00, 7.276033e+00, -7.948970e-03, 5.145086e-01, 7.391734e-01, 8.148842e-05, 1.352536e-01, 4.075230e+00
