#k, z, u, v, w, p, nu_t, uu, vv, ww, pp, uv, uw, vw, g11, g12, g13, g21, g22, g23, g31, g32, g33, u_rms, v_rms, w_rms, p_rms, Rxx, Rxy, Rxz, Ryy, Ryz, Rzz, tke
38, 1.436690e+00, 1.706737e+01, 3.686515e-03, 6.044427e-18, -6.905043e-01, 1.665135e-03, 2.928418e+02, 6.846320e-01, 4.811110e-01, 3.733665e+00, 6.273417e-02, 4.066315e-01, 8.170770e-05, -2.929135e-14, 1.940722e-17, -4.591172e+00, -6.998186e-18, 2.168404e-19, 2.190957e-03, 2.519500e-18, 9.134403e-18, -1.073360e-17, 1.242821e+00, 8.269474e-01, 6.932307e-01, 1.804178e+00, 1.545265e+00, -1.506294e-04, 4.063061e-01, 6.841218e-01, 9.159576e-05, 4.807674e-01, 1.355077e+00
39, 1.503207e+00, 1.673739e+01, 3.578287e-03, 5.149960e-18, -7.624398e-01, 1.708023e-03, 2.819474e+02, 7.726864e-01, 5.201040e-01, 4.079188e+00, 5.970878e-02, 4.684750e-01, 1.474716e-05, -2.874708e-14, 2.168404e-17, -5.244275e+00, -7.826584e-19, -3.794708e-19, -5.784637e-03, 5.421011e-20, 1.219727e-17, -6.505213e-18, 1.343434e+00, 8.785142e-01, 7.207776e-01, 1.869682e+00, 1.805594e+00, -1.425642e-04, 4.680910e-01, 7.721041e-01, 2.584233e-05, 5.197358e-01, 1.548717e+00
40, 1.564377e+00, 1.639249e+01, 2.927884e-03, 5.664956e-18, -8.278500e-01, 1.722993e-03, 2.708130e+02, 8.530848e-01, 5.520875e-01, 4.431309e+00, 4.787143e-02, 5.246203e-01, 5.030587e-06, -2.813624e-14, 3.968180e-17, -5.955268e+00, -2.127747e-18, 4.336809e-19, -1.181857e-02, -1.468755e-18, 7.372575e-18, -3.794708e-18, 1.447906e+00, 9.230946e-01, 7.426061e-01, 1.934794e+00, 2.097329e+00, -7.669720e-05, 5.241818e-01, 8.524484e-01, 1.623334e-05, 5.516946e-01, 1.750736e+00
41, 1.620060e+00, 1.603603e+01, 2.161942e-03, 4.174178e-18, -8.801653e-01, 1.707966e-03, 2.595874e+02, 9.195472e-01, 5.716920e-01, 4.764588e+00, 3.506184e-02, 5.739706e-01, -2.825081e-05, -2.752562e-14, 5.355959e-17, -6.797488e+00, -1.324760e-17, 3.713392e-18, -1.294739e-02, -4.140297e-18, 9.649399e-18, -2.070826e-17, 1.558846e+00, 9.583882e-01, 7.556703e-01, 1.996741e+00, 2.431011e+00, 4.315946e-04, 5.734839e-01, 9.188762e-01, -1.959344e-05, 5.712781e-01, 1.960582e+00
42, 1.670277e+00, 1.566698e+01, 1.539016e-03, 3.604972e-18, -9.134809e-01, 1.663461e-03, 2.482785e+02, 9.680470e-01, 5.738135e-01, 5.050352e+00, 2.501845e-02, 6.158241e-01, -4.628401e-05, -2.689320e-14, 4.228388e-17, -7.891358e+00, -7.928228e-18, 2.574980e-18, -1.136826e-02, -5.022905e-18, 1.035413e-17, -3.306817e-17, 1.679469e+00, 9.833360e-01, 7.570688e-01, 2.052475e+00, 2.821755e+00, 9.370645e-04, 6.153009e-01, 9.673399e-01, -3.863723e-05, 5.733922e-01, 2.181244e+00
43, 1.715186e+00, 1.527945e+01, 1.093023e-03, 1.490778e-18, -9.240602e-01, 1.592077e-03, 2.367509e+02, 9.964404e-01, 5.552331e-01, 5.264029e+00, 1.798032e-02, 6.495216e-01, 8.229115e-05, -2.623162e-14, 2.753874e-17, -9.408456e+00, 4.777266e-18, 2.398797e-18, -8.035667e-03, -1.286643e-18, 1.810618e-17, -2.656295e-17, 1.812472e+00, 9.976474e-01, 7.447119e-01, 2.099193e+00, 3.286336e+00, 1.313312e-03, 6.489669e-01, 9.957028e-01, 9.103497e-05, 5.548245e-01, 2.418432e+00
44, 1.755046e+00, 1.486314e+01, 8.781382e-04, 7.589415e-19, -9.116739e-01, 1.497790e-03, 2.247547e+02, 1.005589e+00, 5.159137e-01, 5.390809e+00, 1.436282e-02, 6.740580e-01, 1.494792e-04, -2.551941e-14, 3.707971e-17, -1.159158e+01, 9.988213e-18, 4.391019e-18, -3.097051e-03, 9.351244e-19, 1.138412e-17, -2.949030e-17, 1.958810e+00, 1.002217e+00, 7.178566e-01, 2.134458e+00, 3.838339e+00, 1.355938e-03, 6.734837e-01, 1.004849e+00, 1.561032e-04, 5.155341e-01, 2.679361e+00
45, 1.790190e+00, 1.440317e+01, 8.708016e-04, 8.402567e-19, -8.801140e-01, 1.384964e-03, 2.119327e+02, 9.985693e-01, 4.593837e-01, 5.430744e+00, 1.369760e-02, 6.874504e-01, 1.714151e-04, -2.473488e-14, 4.813858e-17, -1.477460e+01, 1.062518e-17, 1.246832e-18, 1.148444e-03, 2.013821e-18, 1.479936e-17, -4.770490e-18, 2.115599e+00, 9.987186e-01, 6.773793e-01, 2.156905e+00, 4.477252e+00, 1.200048e-03, 6.868717e-01, 9.978474e-01, 1.738299e-04, 4.590448e-01, 2.967072e+00
46, 1.820992e+00, 1.388113e+01, 9.547632e-04, 8.131516e-20, -8.360930e-01, 1.257189e-03, 1.978739e+02, 9.770073e-01, 3.918200e-01, 5.395917e+00, 1.426360e-02, 6.876224e-01, 1.579435e-04, -2.382751e-14, 7.329207e-17, -1.936115e+01, 8.202667e-18, -4.770490e-18, 1.973542e-03, 3.892116e-18, 1.816039e-17, -1.333569e-17, 2.276361e+00, 9.878767e-01, 6.255744e-01, 2.166307e+00, 5.183394e+00, 1.043429e-03, 6.870555e-01, 9.763054e-01, 1.575809e-04, 3.915308e-01, 3.275615e+00
47, 1.847851e+00, 1.327800e+01, 9.821460e-04, -3.252607e-19, -7.873306e-01, 1.117146e-03, 1.822201e+02, 9.411470e-01, 3.202665e-01, 5.306191e+00, 1.387672e-02, 6.723495e-01, 1.047626e-04, -2.282419e-14, 1.040834e-16, -2.578895e+01, 5.051704e-18, -1.170938e-17, -9.827861e-04, 3.500787e-18, 2.206351e-17, -1.192622e-18, 2.430618e+00, 9.695751e-01, 5.655625e-01, 2.163868e+00, 5.909536e+00, 8.519796e-04, 6.718086e-01, 9.404683e-01, 1.035876e-04, 3.200314e-01, 3.585018e+00
